date,gdp_yoy_pct,reserves_pct_gdp
2016-01-01,,-0.06783739562560119
2017-01-01,20.61166339747671,-0.08223823622151658
2018-01-01,17.461705349026534,-0.10497110167700394
2019-01-01,18.275747826892918,-0.07413555743621128
2020-01-01,2.50108532395259,0.0873792186662963
2021-01-01,28.947415064515923,-0.03986206044795272
2022-01-01,-3.702637645664242,0.10483973538885402
2023-01-01,11.928955260638908,-0.1018319084479751
2024-01-01,8.706304594275016,-0.12340741747216505
2025-01-01,9.624430326287259,-0.254502956556406
