bank_name,date_m,prob
Misto Bank,2020-12-31,0.35507256277057686
BTA Bank,2020-12-31,0.0011975432229696184
Ukreximbank,2020-12-31,0.001002553143632547
Ukrainian Bank for Reconstruction and Development,2020-12-31,0.0009941325833602395
Sberbank,2020-12-31,0.0009181689042906876
Pravex Bank,2020-12-31,0.000917997768626039
Bank Credit Dnipro,2020-12-31,0.0008979470295219223
Cominbank,2020-12-31,0.0008936992518023205
Sense Bank,2020-12-31,0.0008936992518023205
Oschadbank,2020-12-31,0.0008936992518023205
